Sarkı_Adı,Enstrümantallik,Ortalama_Enerji
Enlil,0.916,0.124
Elements,0.954,0.267
Harendra,0.85,0.12
Zephyr,0.853,0.119
Esgalduin,0.762,0.129
Anvindr,0.879,0.109
Owharoa,0.798,0.316
Devdari,0.836,0.122
Kalambo,0.938,0.0968
The Big Ship - 2004 Digital Remaster,0.875,0.261
Unbroken,0.864,0.095
Munna’S Love,0.897,0.137
In Circles,0.84,0.837
Beyond Desolation,0.722,0.15
Jubal,0.854,0.838
Patience Is A Virtue,0.852,0.168
She Remembers,0.962,0.0276
Our Distance,0.805,0.0288
Life,0.905,0.0782
Hoyt's Office,0.98,0.126
Ferme Les Yeux,0.973,0.0323
Gdansk,0.894,0.0508
Black White Felt,0.767,0.0704
Final Mid,0.943,0.0549
Headache,0.88,0.154
The Last of Us (Goodnight),0.635,0.113
Ghost Waltz,0.775,0.25
We Were There,0.899,0.131
The Wings,0.964,0.0406
Weightless Part 4,0.954,0.0318
Night Walk,0.922,0.128
The hall is dancing,0.953,0.00796
Together We Will Live Forever,0.928,0.0176
Woven Song — piano reworks,0.878,0.0338
I Giorni,0.915,0.082
Cherry Blossom Girl,0.955,0.76
Ora,0.905,0.124
Miss Sloane Solo,0.906,0.0177
Waterways,0.838,0.105
Tree of Life Suite: Oceano,0.888,0.512
Synesthesia (Scaled Down Version),0.942,0.0809
A Catalogue of Afternoons,0.852,0.0805
You Don't Know How Lucky You Are,0.576,0.314
Cosmic Lullaby 432Hz - J.C. Fous De La Mer Remix,0.873,0.444
Heavy Water/I'd Rather Be Sleeping,0.956,0.309
The Earth Prelude,0.943,0.0319
The Night Café,0.961,0.309
A Night in Zottegem,0.895,0.389
Reminiscence,0.82,0.656
Lune,0.818,0.162
Vchera,0.875,0.609
This is for You,0.911,0.033
Somewhere in October,0.651,0.375
Loom (feat. Bonobo),0.906,0.18
A Letter From Prison,0.96,0.0323
Reverie,0.913,0.392
Dissonance,0.96,0.668
Infinity (feat. Marie Angerer),0.853,0.547
Black Sapphire,0.916,0.619
Callow,0.725,0.393
IZ-US,0.881,0.459
Avril 14th (Aphex Twin) - Vanessa Wagner Version,0.93,0.0826
Solitude I,0.953,0.0535
Leaving Earth,0.982,0.289
My fellow creatures,0.908,0.00611
Lido,0.881,0.339
Younger,0.907,0.0543
irreplaceable - solo piano,0.922,0.0388
La noyée - Amelie soundtrack,0.892,0.243
Saman,0.966,0.182
Feel First Life,0.95,0.0863
Ethereal,0.915,0.0552
Juliet's Dream,0.969,0.0994
Her Joy Was Complete,0.921,0.0928
Darkest Night,0.906,0.328
Fire and Light,0.882,0.28
Eyes Closed And Traveling,0.826,0.0939
By the Deep Sea,0.868,0.21
Spencer,0.937,0.158
"Piano Concerto No. 2 in F Major, Op. 102: II. Andante",0.932,0.00849
Inclusion,0.944,0.241
Apricots,0.798,0.601
"When Our Wings Are Cut, Can We Still Fly?",0.846,0.209
Discovery At Night,0.931,0.0326
Dietro Casa,0.883,0.0949
Oltremare,0.923,0.185
Soffia la notte,0.927,0.405
Nils Has a New Piano,0.952,0.0319
Out Of Blue,0.829,0.143
Stone In Focus,0.741,0.245
Brotin,0.923,0.0465
Eschaton,0.903,0.0671
Pulsing,0.823,0.903
Bloodflow,0.883,0.623
Wandering II,0.776,0.155
amour – piano,0.947,0.101
Dona Nobis Pacem 2,0.948,0.324
Open,0.904,0.0238
A Shimmer,0.906,0.00559
Deep,0.9,0.0748
Fabric of Summer,0.785,0.00159
Wind's Caress,0.944,0.143
Still Day,0.947,0.0971
Motion,0.917,0.00965
Bells,0.948,0.00375
This Place Is a Shelter,0.916,0.0777
Now He's Our Father (Reinterpretation),0.756,0.326
The Open,0.936,0.051
To the Stars,0.936,0.0985
The Stars We Follow,0.873,0.0787
Générique de fin,0.958,0.121
"The Hours: An Unwelcome Friend (From \""The Hours\"")",0.912,0.00429
Saturn (Instrumental),0.918,0.205
Accede,0.896,0.524
"Georgiana - From \""Pride & Prejudice\"" Soundtrack",0.848,0.0838
#1,0.712,0.0327
Rivers - Solo Piano Version,0.939,0.00515
Last Song,0.933,0.0775
Borderland Sorrows,0.935,0.109
Nightbook,0.841,0.289
Interloper,0.969,0.462
Le Onde,0.895,0.0517
Departures n1,0.938,0.0949
Viva Vida Amor - Solo Piano Version,0.884,0.166
"The Beast - From \""Sicario\""",0.856,0.0383
He Had a Good Time,0.898,0.236
Bloom,0.915,0.308
Island II,0.92,0.00478
Fjäll,0.935,0.697
Hiddensee,0.952,0.0814
Nami,0.926,0.151
Overture,0.928,0.074
I Am a Soul,0.889,0.858
Svanur (feat. Rökkurró),0.825,0.518
Experience,0.926,0.392
Balcony Hotel - From 'Miss',0.913,0.209
The Narrow Path,0.958,0.0709
Beyond the Clouds,0.921,0.574
Kereon,0.88,0.0392
Pink And Golden Billows,0.915,0.0616
Oftentimes / Souki,0.94,0.0882
Weightless Part 5,0.961,0.309
Porz Goret (Neumann KM 140 Version),0.945,0.00395
"Porz Goret (Bruel & Kjaer, Mod. 4006 Version)",0.951,0.00414
"Your Hands Are Cold - From \""Pride & Prejudice\"" Soundtrack",0.908,0.0427
"String Quartet No. 8 in C Minor, Op. 110: 2. Allegro molto",0.894,0.46
Guiding Light,0.916,0.0355
Son of Placenta Previa,0.948,0.206
Abiogenesis,0.866,0.55
Pagan Dream Machine - Vibrasphere Remix,0.606,0.506
Coco,0.948,0.364
Icarus or Blériot,0.888,0.208
Peacock Tail,0.922,0.477
Be Natural,0.835,0.00189
"A Postcard to Henry Purcell - From \""Pride & Prejudice\"" Soundtrack",0.674,0.0199
Halving The Compass - Sampler Version,0.915,0.244
Brilliant Clouds,0.985,0.0109
Heartbroken,0.603,0.476
We Let It In,0.589,0.13
A Meaningful Moment Through a Meaning(less) Process,0.907,0.0718
Dunkelheit,0.891,0.545
Unbound,0.893,0.0285
Enigma,0.94,0.058
Kintsugi,0.819,0.698
Drifting Towards the Horizon,0.93,0.0945
Passage,0.935,0.255
Such Owls As You,0.907,0.0712
Experience,0.958,0.138
Written In The Stars,0.931,0.0715
As the Darkness Falls,0.867,0.197
In the Waiting,0.958,0.0111
Last Dance,0.966,0.104
On the Nature of Daylight (Entropy),0.894,0.235
Apertura,0.73,0.363
Absent Minded,0.933,0.0781
Rain,0.854,0.904
"Invasion Main Title - From \""Invasion\""",0.964,0.437
Mos 6581,0.749,0.421
"An Ending, a Beginning",0.897,0.226
All Things End,0.966,0.0907
Ashley Williamson,0.857,0.577
L'Origine Nascosta,0.859,0.0102
god(s),0.917,0.0146
The Turning Year,0.902,0.1
Petite fille,0.558,0.22
Gateway,0.976,0.256
One Look - Solo Piano Version,0.934,0.0459
Songbird - Solo Piano Version,0.916,0.059
Making Gardens Out of Silence,0.902,0.0979
"Hope, Ascending - Solo Piano Version",0.916,0.0681
Broken Sunsets - Solo Piano Version,0.897,0.0686
Colours - Solo Piano Version,0.923,0.118
Still Life - Solo Piano Version,0.955,0.0256
Famous Hungarians,0.927,0.103
Canyons - Solo Piano Version,0.93,0.111
Golden - Solo Piano Version,0.896,0.171
Evermore - Solo Piano Version,0.886,0.0502
Guiding Light - Solo Piano Version,0.921,0.0324
Sleep Now,0.921,0.224
It Can't Last,0.818,0.108
Joel,0.736,0.469
Night Song,0.803,0.0435
II,0.957,0.072
Berceuse,0.867,0.0285
The Mighty Rio Grande,0.87,0.171
"On the Nature of Daylight (From \""Arrival\"")",0.981,0.0172
Speak Life,0.859,0.267
The Winter,0.882,0.246
Still Life,0.779,0.0448
Only The Winds,0.943,0.176
Only in the Dark,0.753,0.0019
"Running By The Roads, Running By The Fields (Solo Piano)",0.911,0.0646
Bab' Azîz,0.868,0.128
Today and it’s gone (Munich Session),0.913,0.0296
Sentient,0.888,0.0798
The Drowned Girl - Edit,0.927,0.209
Home,0.913,0.0733
Love Is A Mystery,0.874,0.13
On My Way Home,0.948,0.0749
"June 24, 2022: Parade of Planets",0.772,0.16
Walk With Us - For Black Lives Matter,0.882,0.0264
Weightless Part 6,0.963,0.174
Quiet,0.848,0.463
Forever Longing,0.797,0.332
Historiette No. 5,0.879,0.237
Larmes glacées (Piano Solo),0.86,0.224
Lumière,0.895,0.0101
Flight from the City,0.912,0.086
The Quality of Mercy,0.871,0.11
"All My Joy, All My Pain",0.914,0.037
I’m Hardly Me,0.779,0.273
Sherry,0.884,0.0639
Resta Con Me,0.918,0.0295
Solo Guitar with Tin Foil,0.734,0.00874
Fingerbib,0.926,0.564
1/1 - Remastered 2004,0.913,0.00397
The Heart Asks Pleasure First / The Promise - Edit,0.92,0.276
Tha,0.933,0.406
A Summer Long Since Passed,0.766,0.268
"Toxygene - 7\"" Edit",0.775,0.728
This Is My Boy,0.936,0.242
Alive,0.885,0.407
Main Theme - From “The Third Murder” / Remastered 2020,0.858,0.109
The Lily - Piano Version,0.941,0.00889
Pashupati,0.886,0.501
More Than Anything,0.94,0.214
Shinkai,0.643,0.0578
Safe Space,0.844,0.21
Happiness Is Real,0.924,0.172
No Goodbye,0.675,0.443
vi (almost equal to) ix,0.886,0.297
Rakka,0.895,0.257
Weightless,0.953,0.228
Still Life,0.942,0.0378
Downtime,0.904,0.133
Embrace,0.926,0.145
The Finality of It All,0.686,0.108
For Mark,0.917,0.0148
Anxiety,0.877,0.205
I'm Okay,0.923,0.12
Little Lights,0.946,0.163
Not Alone: I'm Here For You,0.952,0.0593
Overwhelming,0.927,0.159
One For Vulnerability,0.871,0.202
Recovery,0.815,0.461
As Ballad,0.922,0.0496
Deep Magic,0.812,0.202
Let the Waves Wash Over Me (Prelude),0.923,0.135
Lunar Cycles,0.914,0.161
Atlas,0.95,0.793
Slow Snail,0.716,0.0499
Words of Warmth,0.959,0.0945
Rumination,0.957,0.177
When Shared,0.879,0.17
igloo,0.885,0.389
Finding A Way Past the Tears,0.935,0.196
Sol,0.849,0.37
"Theme From \""In Search Of Angels\""",0.935,0.228
World Turns,0.917,0.418
Drop,0.939,0.0342
Kelly Watch the Stars,0.637,0.743
Passagio,0.948,0.02
Blue Seven,0.966,0.169
"Deep Sleep, Pt. 1",0.972,0.126
Shingeki Gt 20130218 Kyojin,0.94,0.197
Ashes on The Fire (Attack on Titan The Final Season Original Soundtrack),0.928,0.703
Enemy - Epic Version (from Arcane League of Legends),0.731,0.687
哀と悲,0.525,0.183
Konoha Peace,0.915,0.464
lit(var),0.934,0.258
You Say Run,0.966,0.947
Call of Silence,0.857,0.38
You See Big Girl / T:T,0.884,0.679
Attack on Titan,0.76,0.608
"Overtaken - Epic Version (from \""One Piece\"")",0.886,0.775
FAIRY TAIL Main Theme,0.905,0.9
See You Again - Epic Orchestral Version,0.906,0.429
L no Theme,0.929,0.827
"Running Up That Hill - Epic Version (from \""Stranger Things)",0.753,0.718
"Gojo Satoru Hollow Purple Theme (from \""Jujutsu Kaisen\"")",0.757,0.54
Eye-Water,0.888,0.335
Next to you - from Parasyte,0.917,0.319
Vogel Im Kafig,0.91,0.335
One Summer Day,0.892,0.196
沸き上がる闘志,0.588,0.846
Merry-Go-Round of Life - from 'Howl's Moving Castle',0.644,0.287
Light no Theme,0.904,0.569
One summer's day,0.886,0.415
L Theme (Death Note),0.856,0.592
Blue Bird (Naruto),0.856,0.229
Shang-Chi Main Theme,0.844,0.766
One Summer Day (Spirited Away),0.817,0.083
First Date,0.828,0.303
失意,0.914,0.122
孤独,0.687,0.0619
Licht und Schatten,0.743,0.614
虚式「茈」,0.661,0.707
My Hero Academia,0.765,0.895
Footsteps of Doom,0.88,0.581
Sadness and Sorrow,0.938,0.442
Marco and Gina,0.854,0.262
The Raising Fighting Spirit,0.569,0.924
Ashes on The Fire -PTV-,0.878,0.688
"The Very Very Very Strongest - Epic Version (from \""One Piece\"")",0.976,0.859
Unravel (Tokyo Ghoul),0.871,0.34
Zenitsu Theme V2 (Thunder Clap and Flash!),0.877,0.803
Unravel Lofi (Tokyo Ghoul),0.92,0.0888
Sadness and Sorrow (Naruto),0.862,0.0792
Konoha Peace (Naruto),0.946,0.0806
Pokémon Theme Lofi,0.881,0.0806
出陣,0.964,0.671
T-KT,0.894,0.306
Kyrie,0.776,0.239
Low of Solipsism,0.713,0.452
Never Coming Back,0.745,0.0277
Through the Mists,0.939,0.0123
Evil Morty Theme (For The Damaged Coda) - Epic Version,0.911,0.479
Yoriichi Theme,0.83,0.597
Howl's Moving Castle (Merry Go Round),0.893,0.457
Hokage's Funeral,0.892,0.436
Shou Ga Nai,0.748,0.308
Unravel (Tokyo Ghoul),0.916,0.229
Creep,0.828,0.337
Kids,0.932,0.265
Eleven,0.948,0.341
Never Ending Story,0.871,0.336
To the Grand Line (One Piece),0.856,0.0451
Every Breath You Take,0.91,0.438
Separate Ways,0.907,0.436
Path of the Wind (My Neighbor Totoro),0.854,0.112
Gurenge Lofi (Demon Slayer),0.838,0.124
Loneliness (Naruto),0.898,0.0834
Stranger Things Theme - Lofi,0.878,0.707
五月雨,0.96,0.129
Futari no kimochi,0.962,0.172
疾風伝,0.822,0.9
自閉円頓裹,0.707,0.942
Kaikai Kitan but is it okay if it's lofi?,0.875,0.374
Naruto Shippuden Samidare - Trap Remix,0.533,0.475
My War but is it okay if it's lofi?,0.709,0.389
上,0.918,0.954
Counter Attack Mankind,0.808,0.405
Kamado Tanjiro no Uta but is it okay if it's lofi?,0.906,0.193
Stardust Crusaders,0.771,0.926
The Other Side of the Sea,0.567,0.5
Sparkle Lofi (Your Name),0.866,0.0509
Howl's Moving Castle Lofi (Merry Go Round),0.857,0.208
The World Lofi (Death Note),0.824,0.0555
Inferno Lofi (Fire Force),0.8,0.0733
Departure Lofi (Hunter X Hunter),0.901,0.0778
Shinzou Wo Sasageyo! (Attack On Titan),0.828,0.108
The Day Lofi (My Hero Academia),0.96,0.047
Crossing Fields (Sword Art Online),0.918,0.0597
Again Lofi (Fullmetal Alchemist Brotherhood),0.854,0.107
Princess Mononoke Lofi (The Legend of Ashitaka),0.939,0.0666
This Game Lofi (No Game No Life),0.846,0.0634
空蝉,0.713,0.156
T-Kt,0.627,0.159
Death Note,0.837,0.323
Fukashigi no Carte but is it okay if it's lofi?,0.942,0.138
Vogel im Kafig,0.527,0.385
To the Grand Line,0.76,0.485
"Luffy's Fierce Attack (from \""One Piece\"")",0.84,0.82
Aryetti's Song,0.862,0.296
"Sadness and Sorrow (From \""Naruto\"")",0.822,0.0486
The Flower Garden,0.888,0.181
The Warriors,0.876,0.753
attack ON taian [TFSv],0.863,0.807
My Neighbor Totoro (Path of the Wind),0.578,0.293
The Girl I Have a Crush On,0.894,0.329
Renai Circulation (Bakemonogatari),0.901,0.259
This Is Revenge,0.846,0.918
形勢逆転,0.865,0.877
最恐,0.841,0.369
lit,0.967,0.0319
Guts,0.843,0.251
Blue Bird but is it okay if it's lofi?,0.846,0.385
奇術師のバイレ,0.842,0.724
Despair,0.736,0.369
青100色,0.703,0.875
Loneliness,0.785,0.325
Gurenge but is it okay if it's lofi?,0.936,0.408
Smells Blood,0.863,0.598
The Voice in My Heart,0.895,0.125
Kai's Theme,0.876,0.63
Counter Attack-Mankind,0.875,0.849
Port Ormos,0.917,0.281
Attack on Titan Theme,0.759,0.754
Kingdom in Blue,0.926,0.238
Power of Mujin Park,0.962,0.817
Counting Rice,0.894,0.242
Duel of the Fates - Epic Version,0.832,0.638
The World (Death Note),0.899,0.406
帰郷,0.792,0.17
Hokage Funeral (Naruto Original Soundtrack),0.93,0.0653
Tokyo Revengers -Main Theme-,0.798,0.929
You're in Love,0.924,0.0344
Hikaru Nara but is it okay if it's lofi?,0.948,0.408
Spin and Burst,0.89,0.904
暴走する悪意,0.641,0.918
Alone,0.857,0.617
Rittaikidou,0.89,0.571
"rest well, my friend",0.938,0.0242
Natsukashii,0.906,0.291
Fairy Tail Main Theme - Slow ver.,0.752,0.421
Dragon Force,0.79,0.896
Opening Song - Merry-Go-Round of Life,0.869,0.0947
Stuck in Æther,0.952,0.2
To Be Continued..,0.695,0.26
千軍万馬,0.942,0.241
チームの地力,0.821,0.652
NARUTO Main Theme'16,0.678,0.839
Dandelion's Lullaby,0.886,0.141
Shinzo wo Sasageyo but is it okay if it's lofi?,0.805,0.438
Samidare,0.888,0.498
Akuma no Ko - Cinematic Version,0.571,0.313
Attack on D,0.838,0.262
Sadness and Sorrow,0.942,0.472
Overtaken,0.745,0.365
Naruto Main Theme,0.89,0.419
Blue Bird,0.857,0.294
Ashes on The Fire,0.93,0.684
Jet Set Run,0.933,0.943
Carol of The Bells - Epic Version,0.634,0.522
Spirited Away (One Summer's Day),0.917,0.355
One More Coffee,0.926,0.117
MAN OF THE WORLD,0.716,0.469
Ashes on The Fire,0.922,0.782
Symphonicsuite (Aot) Part2-6th: Thanksat,0.925,0.178
Mystery Lands,0.727,0.199
Morning's Chant,0.882,0.371
The Girl Who Fell from the Sky,0.904,0.307
Again (Fullmetal Alchemist Brotherhood),0.958,0.126
Chala Head Chala (DBZ),0.893,0.162
Kodoku,0.946,0.509
Lost In Paradise but is it okay if it's lofi?,0.902,0.385
Breathe Out,0.932,0.28
Death Note Theme,0.525,0.554
Fly High but is it okay if it's lofi?,0.941,0.415
Samidare but is it okay if it's lofi?,0.787,0.134
Rainy Day,0.888,0.35
Lavender,0.913,0.313
Light Yagami Theme (Death Note) [Kira],0.85,0.421
E.M.A,0.827,0.75
"unravel (from \""Tokyo Ghoul\"") - Piano Arrangement",0.887,0.326
Apetitan,0.745,0.737
One Piece x Pirates of The Caribbean,0.943,0.804
Sparkle (Your Name),0.806,0.29
Hang On,0.876,0.322
黒点,0.873,0.873
百花繚乱,0.962,0.9
Again from Your Lie in April,0.913,0.157
イザベラの唄 (Mandolin Version),0.924,0.281
Again (Your Lie in April Original Soundtrack),0.914,0.213
Missing Piece,0.905,0.365
fukashigi no carte lofi (bunny girl senpai),0.767,0.0821
Near no Theme,0.934,0.853
Ultra Instinct,0.823,0.677
Signal Flags,0.86,0.0816
The Batman Theme - Epic Version,0.927,0.357
Fairy Fountain,0.855,0.333
Youseebiggirl/T:t,0.784,0.49
"Kamado Tanjiro no Uta (From \""Demon Slayer: Kimetsu no Yaiba\"") [Piano Solo]",0.874,0.193
Nausicaa Requiem,0.858,0.315
Pokémon Center - Lofi,0.678,0.172
Berserk Skeleton Meme Song - Remix,0.836,0.792
呪術廻戦,0.938,0.845
BUBBLE,0.762,0.194
Natsu's Theme,0.886,0.965
One Punch Man but is it okay if it's lofi?,0.871,0.248
Symphonicsuite (Aot) Part2-2nd: Shingekinokyojin,0.923,0.297
ELO,0.897,0.408
Attack on Titan,0.942,0.355
"The Very, Very, Very Strongest",0.861,0.34
Silhouette (Naruto Shippuden),0.927,0.322
April Rain,0.924,0.173
Future's Beyond,0.85,0.281
This Is Pure Love,0.799,0.0581
my war but it's lofi (attack on titan),0.949,0.324
コンセプトの戦い,0.892,0.961
Judgement,0.898,0.887
Chainsaw man main theme but it's lofi hiphop,0.867,0.331
Akuma no Ko but is it okay if it's lofi hiphop?,0.803,0.464
"Saitama's Theme ~Sad Ver.~ (From \""One Punch Man\"")",0.927,0.072
"Waltz No. 1, Collapse",0.956,0.0239
The Fall of Marley,0.901,0.536
blossoms,0.891,0.833
Again (Full Metal),0.918,0.222
The Raising Fighting Spirit,0.903,0.469
First Rain in Spring,0.719,0.0605
youseebiggirl but it's lofi (attack on titan),0.959,0.489
"Akatsuki (From \""Naruto Shippuden\"")",0.801,0.834
Main Theme,0.89,0.0622
lvs,0.921,0.0359
君はヒーローになれる,0.848,0.403
Kataware Doki but is it okay if it's lofi?,0.929,0.146
Moon Knight Theme,0.886,0.588
"Running Up That Hill - Orchestral Version (from \""Stranger Things\"")",0.965,0.391
Man of the World,0.936,0.469
Mondstadt Nighttime,0.644,0.0297
Sinking Fatigue,0.953,0.126
The Flash Theme (At the Speed of Force),0.934,0.64
AOTF-s1,0.847,0.67
YouSee-Power,0.932,0.35
Guren No Yumiya (Attack On Titan),0.932,0.497
The Path of the wind,0.952,0.383
Theme of Violet Evergarden,0.535,0.28
Vegeta - Super Saiyan,0.914,0.893
ハイキュー!!,0.872,0.585
Watashi No Uso (Your Lie in April Original Soundtrack),0.875,0.0154
Cry Baby but is it okay if it's lofi?,0.902,0.22
Kyouran Hey Kids but is it okay if it's lofi?,0.888,0.58
The Girl in the Blue Window,0.903,0.103
Polaris but is it okay if it's lofi?,0.919,0.272
Cloudy Springs,0.919,0.0863
"Uso (From \""Fullmetal Alchemist: Brotherhood\"")",0.918,0.122
Reminiscence,0.818,0.0743
Kai's Theme & Agni Kai,0.734,0.75
Killer,0.961,0.0578
Pokémon Theme,0.893,0.489
Sign (Naruto Shippuden),0.837,0.203
うちはイタチ,0.911,0.941
Taikutsu,0.835,0.275
Crybaby,0.921,0.371
Again,0.871,0.26
Kioku (Yosuga No Sora Original Soundtrack),0.864,0.0419
Low of Solipsism Ⅱ,0.574,0.533
The Sixth Station,0.803,0.0463
"Unravel (From \""Tokyo Ghoul\"")",0.806,0.221
A Bitter Rain,0.864,0.0217
Song of Storms,0.907,0.366
Discovering the Past,0.851,0.0401
red swan but it's lofi (attack on titan),0.948,0.201
lvs(var),0.972,0.173
Blue Bird (Naruto) - Trap Remix,0.878,0.511
path of the wind (my neighbor totoro lofi),0.897,0.439
"D.V.M.N. -Theme From \""DEVILMAN crybaby\""-",0.936,0.844
Zeek's Plan,0.941,0.488
Heading Home,0.853,0.112
Raiden Shogun Theme (Judgement of Euthymia),0.89,0.586
Across the Violet Sky,0.798,0.233
Hands Up To The Sky,0.955,0.269
The Hero (One Punch Man),0.852,0.158
A Cruel Angel's Thesis (Evangelion),0.929,0.151
Overdrive,0.537,0.822
呪術師・伏黒恵,0.928,0.774
Spring's Melody,0.939,0.309
"Unravel (From \""Tokyo Ghoul\"") - Lofi Remix",0.944,0.0961
Kiss of Death but is it okay if it's lofi?,0.894,0.331
Melancholy,0.905,0.0419
Departure but is it okay if it's lofi?,0.937,0.348
Next To You but is it okay if it's lofi?,0.91,0.257
Crossing Field but is it okay if it's lofi?,0.891,0.424
out my window,0.943,0.0858
Eren Zahyo,0.893,0.547
Avatar: the Last Airbender,0.892,0.127
"Loneliness (from \""Naruto Shippuden\"") - Piano Lullaby",0.948,0.0138
Outro : Cross the Line,0.689,0.488
Deathcrush,0.933,0.908
Devadevam,0.831,0.809
HALLOWED GROUND,0.9,0.899
Autre temps,0.875,0.548
Souvenirs d'un autre monde,0.897,0.704
Χ Ξ Σ - 666,0.829,0.758
Sapphire,0.85,0.76
Freezing Moon,0.641,0.974
Ov Fire and the Void,0.621,0.973
Apophis,0.765,0.983
Manic Cure,0.535,0.994
Puritania,0.844,0.969
FELO DE SE,0.937,0.899
Heaven on Earth,0.862,0.937
The Annual Horrors,0.946,0.944
Once upon the Cross,0.805,0.95
From the Cradle to Enslave,0.683,0.926
Give Up / Vas a Morir,0.937,0.932
Until It Is Not,0.969,0.943
The Great Stone War,0.589,0.976
One Way Track,0.699,0.939
Angels of Debauchery,0.675,0.959
Flagellation,0.708,0.973
Crown,0.658,0.921
Midnight Queen,0.768,0.804
Ordsmedar Av Rang,0.787,0.823
Dream House,0.916,0.804
Sur l'océan couleur de fer,0.867,0.306
Kodama,0.782,0.573
In The Shadow Of Our Pale Companion (2016 - Remaster),0.586,0.846
Chainsaw Gutsfuck,0.951,0.828
Wild North West,0.813,0.865
A Dying God Coming into Human Flesh,0.918,0.329
Jesus' Tod,0.988,0.93
Protection,0.806,0.901
A Fine Day to Die,0.756,0.931
Blind Faith,0.909,0.931
Discord,0.944,0.981
Leather And Metal,0.664,0.997
The Soul Receiver,0.802,0.922
Tales of Thy Spineless,0.703,0.958
Valley of the Damned,0.901,0.984
The Ones Who Came Before,0.818,0.94
Utrydd Dei Svake,0.75,0.747
Near,0.934,0.48
Triumph of Death,0.543,0.959
The Iron Gate,0.754,0.962
Til Satan,0.952,0.994
You Without End,0.833,0.817
Sunbather,0.908,0.804
Pulse,0.72,0.474
Wishlist,0.577,0.925
A Poisoned Gift,0.71,0.826
Devil is Your Master,0.807,0.991
Conquer All,0.893,0.927
Left Hand Path,0.651,0.927
Sledge Hammer Facelift,0.581,0.975
Sorrow Infinite and Darkness,0.851,0.95
Herr Spiegelmann,0.583,0.564
Dýrafjörður,0.61,0.443
Martyrium,0.924,0.865
In Defiance of Existence,0.705,0.846
Ceremony of Opposites,0.825,0.846
To Our Martyrs,0.721,0.969
The End of Man Will Bring Peace to This Earth,0.622,0.879
Decrystallizing Reason,0.906,0.951
Nexion 218,0.834,0.726
The Maw,0.897,0.947
"Trance/Floden, som kan lede",0.854,0.114
Frightened Teeth,0.877,0.983
Abysmo,0.54,0.947
Fire God and Fear,0.694,0.757
Haureus,0.656,0.92
I Am The Black Wizards,0.905,0.947
Hell's Master of Hell,0.762,0.995
Dionysus,0.749,0.907
The Blue Mists of Night,0.759,0.688
Beyond the Celestial Veil,0.915,0.907
Celestial Deconstruction,0.788,0.981
On Horns Impaled,0.574,0.905
Abyssos Antithesis,0.714,0.911
Blodssvik,0.899,0.853
Furor Diabolicus,0.972,0.972
Godhate,0.914,0.985
Dirge,0.652,0.911
Fires Roar in the Palace of the Moon,0.817,0.944
